co_etnia,etnia
49,FULNI-O
50,"GALIBI (GALIBI DO OIAPOQUE, KARINHA)"
51,"GALIBI MARWORNO (GALIBI DO UACA, ARUA)"
52,GAVIAO DE RONDONIA (DIGUT)
53,GAVIAO KRIKATEJE
54,GAVIAO PARKATEJE (PARKATEJE)
55,"GAVIAO PUKOBIE (PUKOBIE, PYKOPJE, GAVIAO DOMARANHAO)"
56,"GUAJA (AWA, AVA)"
57,GUAJAJARA (TENETEHARA)
58,GUARANI KAIOWA (PAI TAVYTERA)
59,GUARANI M'BYA
60,"GUARANI NANDEVA (AVAKATUETE, CHIRIPA, NHANDEWA, AVA GUARANI)"
61,G U ATO
62,HIMARIMA (HIMERIMA)
63,"INGARIKO (INGARICO, AKAWAIO, KAPON)"
64,IRANXE (IRANTXE)
65,ISSE
66,"JABOTI (JABUTI, KIPIU, YABYTI)"
67,"JAMAMADI (YAMAMADI, DJEOROMITXI)"
68,J A R AWA R A
69,"JIRIPANCO (JERIPANCO, GERIPANCO)"
70,JUMA (YUMA)
71,JURUNA
72,JURUTI (YURITI)
73,"KAAPOR (URUBU-KAAPOR, KA'APOR, KAAPORTE)"
74,"KADIWEU (CADUVEO, CADIUEU)"
75,"KAIABI (CAIABI, KAYABI)"
76,KAIMBE (CAIMBE)
77,KAINGANG (CAINGANGUE)
78,KAIXANA (CAIXANA)
79,"KALABASSA (CALABASSA, CALABACAS)"
80,KALANCO
81,KALAPALO (CALAPALO)
82,"KAMAYURA (CAMAIURA, KAMAIURA)"
83,KAMBA (CAMBA)
84,"KAMBEBA (CAMBEBA, OMAGUA)"
85,KAMBIWA (CAMBIUA)
86,KAMBIWA PIPIPA (PIPIPA)
87,KAMPE
88,"KANAMANTI (KANAMATI, CANAMANTI)"
89,"KANAMARI (CANAMARI, KANAMARY, TUKUNA)"
90,KANELA APANIEKRA (CANELA)
91,KANELA RANKOKAMEKRA (CANELA)
92,KANINDE
93,KANOE (CANOE)
94,KANTARURE (CANTARURE)
95,KAPINAWA (CAPINAUA)
96,KARAJA (CARAJA)
97,KARAJA/JAVAE (JAVAE)
98,KARAJA/XAMBIOA (KARAJA DO NORTE)
99,"KARAPANA (CARAPANA, MUTEAMASA, UKOPINOPONA)"
100,KARAPOTO (CARAPOTO)
101,KARIPUNA (CARIPUNA)
102,KARIPUNA DO AMAPA (CARIPUNA)
103,KARIRI (CARIRI)
104,KARIRI-XOCO (CARIRI-CHOCO)
105,KARITIANA (CARITIANA)
106,"KATAWIXI (KATAUIXI,KATAWIN, KATAWISI, CATA U I C H I )"
107,"KATUENA (CATUENA, KATWENA)"
108,KATUKINA (PEDA DJAPA)
109,KATUKINA DO ACRE
110,KAXARARI (CAXARARI)
111,"KAXINAWA (HUNI-KUIN, CASHINAUA, CAXINAUA)"
112,KAXIXO
113,KAXUYANA (CAXUIANA)
114,KAYAPO (CAIAPO)
115,KAYAPO KARARAO (KARARAO)
116,KAYAPO TXUKAHAMAE (TXUKAHAMAE)
117,KAYAPO XICRIM (XIKRIN)
118,"KAYUISANA (CAIXANA, CAUIXANA, KAIXANA)"
119,"KINIKINAWA (GUAN, KOINUKOEN, KINIKINAO)"
120,KIRIRI
121,"KOCAMA (COCAMA, KOKAMA)"
122,K O K U I R E G AT E J E
123,KORUBO
124,"KRAHO (CRAO, KRAO)"
125,KREJE (KRENYE)
126,"KRENAK (BORUN, CRENAQUE)"
127,KRIKATI (KRINKATI)
128,"KUBEO (CUBEO, COBEWA, KUBEWA, PAMIWA, CUBEU)"
129,"KUIKURO (KUIKURU, CUICURO)"
130,"KUJUBIM (KUYUBI, CUJUBIM)"
131,KULINA PANO (CULINA)
132,"KULINA/MADIHA (CULINA, MADIJA, MADIHA)"
133,"KURIPAKO (CURIPACO, CURRIPACO, CORIPACO, WA K U E N A I )"
134,KURUAIA (CURUAIA)
135,"KWAZA (COAIA, KOAIA)"
136,"MACHINERI (MANCHINERI, MANXINERI)"
137,MACURAP (MAKURAP)
138,MAKU DOW (DOW)
139,MAKU HUPDA (HUPDA)
140,MAKU NADEB (NADEB)
141,MAKU YUHUPDE (YUHUPDE)
142,"MAKUNA (MACUNA, YEBA-MASA)"
143,"MAKUXI (MACUXI, MACHUSI, PEMON)"
144,MARIMAM (MARIMA)
145,MARUBO
146,M AT I P U
147,M AT I S
148,MATSE (MAYORUNA)
149,MAXAKALI (MAXACALI)
150,MAYA (MAYA)
151,M AY TA P U
152,"MEHINAKO (MEINAKU, MEINACU)"
153,"MEKEN (MEQUEM, MEKHEM, MICHENS)"
154,"MENKY (MYKY, MUNKU, MENKI, MYNKY)"
155,"MIRANHA (MIRANHA, MIRANA)"
156,"MIRITI TAPUIA (MIRITI-TAPUYA, BUIA-TAPUYA)"
157,MUNDURUKU (MUNDURUCU)
158,MURA
159,NAHUKWA (NAFUQUA)
160,"NAMBIKWARA DO CAMPO (HALOTESU, KITHAULU,WAKALITESU, SAWENTES, MANDUKA)"
161,"NAMBIKWARA DO NORTE (NEGAROTE, MAMAINDE, LATUNDE, SABANE E MANDUKA, TAWANDE)"
162,"NAMBIKWARA DO SUL (WASUSU, HAHAINTESU,ALANTESU, WAIKISU, ALAKETESU, WASUSU, SARARE)"
163,NARAVUTE (NARUVOTO)
164,NAWA (NAUA)
165,"NUKINI (NUQUINI, NUKUINI)"
166,OFAIE (OFAYE-XAVANTE)
167,ORO WIN
168,PAIAKU (JENIPAPO-KANINDE)
169,"PAKAA NOVA (WARI, PACAAS NOVOS)"
170,"PALIKUR (AUKWAYENE, AUKUYENE, PALIKU'ENE)"
171,"PANARA (KRENHAKARORE, KRENAKORE, KRENAKARORE)"
172,PANKARARE (PANCARARE)
173,PANKARARU (PANCARARU)
174,PANKARARU KALANKO (KALANKO)
175,PANKARARU KARUAZU (KARUAZU)
176,PANKARU (PANCARU)
177,"PARAKANA (PARACANA, APITEREWA, AWAETE)"
178,"PARECI (PARESI, HALITI)"
179,PA R I N T I N T I N
180,PATAMONA (KAPON)
181,PATA X O
182,PATAXO HA-HA-HAE
183,PAUMARI (PALMARI)
184,PA U M E L E N H O
185,PIRAHA (MURA PIRAHA)
186,"PIRATUAPUIA (PIRATAPUYA, PIRATAPUYO, PIRATAPUYA, WAIKANA)"
187,P I TA G U A R I
188,POTIGUARA
189,POYANAWA (POIANAUA)
190,"RIKBAKTSA (CANOEIROS, ERIGPAKTSA)"
191,"SAKURABIAT (MEKENS, SAKIRABIAP, SAKIRABIAR)"
192,SATERE-MAWE (SATERE-MAUE)
193,SHANENAWA (KATUKINA)
194,SIRIANO (SIRIA-MASA)
195,SURIANA
196,SURUI DE RONDONIA (PAITER)
197,SURUI DO PARA (AIKEWARA)
198,SUYA (SUIA/KISEDJE)
199,TAPAYUNA (BEICO-DE-PAU)
200,TA P E B A
201,TAPIRAPE (TAPI'IRAPE)
202,"TAPUIA (TAPUIA-XAVANTE, TAPUIO)"
203,"TARIANO (TARIANA, TALIASERI)"
204,"TAUREPANG (TAULIPANG, PEMON, AREKUNA, PAGEYN)"
205,TEMBE
206,TENHARIM
207,TERENA
208,"TICUNA (TIKUNA, TUKUNA, MAGUTA)"
209,TINGUI BOTO
210,"TIRIYO EWARHUYANA (TIRIYO, TRIO, TARONA, YAWI, PIANOKOTO)"
211,"TIRIYO KAH'YANA (TIRIYO, TRIO, TARONA, YAWI,P I A N O K O TO )"
212,"TIRIYO TSIKUYANA (TIRIYO, TRIO, TARONA, YAWI,P I A N O K O TO )"
213,TO R A
214,TREMEMBE
215,TRUKA
216,TRUMAI
217,TSOHOM DJAPA (TSUNHUM-DJAPA)
218,"TUKANO (TUCANO, YE'PA-MASA, DASEA)"
219,TUMBALALA
220,T U N AYA N A
221,T U PA R I
222,TUPINAMBA
223,TUPINIQUIM
224,T U R I WA R A
225,TUXA
226,"TUYUKA (TUIUCA, DOKAPUARA, UTAPINOMAKAPHONA)"
227,"TXIKAO (TXICAO, IKPENG)"
228,"UMUTINA (OMOTINA, BARBADOS)"
229,"URU-EU-WAU-WAU (URUEU-UAU-UAU, URUPAIN, U R U PA )"
230,WAI WAI HIXKARYANA (HIXKARYANA)
231,"WAI WAI KARAFAWYANA (KARAFAWYANA, KARAPAW YA N A )"
232,WAI WAI XEREU (XEREU)
233,WAI WAI KATUENA (KATUENA)
234,WAI WAI MAWAYANA (MAWAYANA)
235,"WAIAPI (WAYAMPI, OYAMPI, WAYAPY, )"
236,WAIMIRI ATROARI (KINA)
237,"WANANO (UANANO, WANANA)"
238,"WAPIXANA (UAPIXANA, VAPIDIANA, WAPISIANA,WA P I S H A N A )"
239,"WAREKENA (UAREQUENA, WEREKENA)"
240,WA S S U
241,"WAURA (UAURA, WAUJA)"
242,"WAYANA (WAIANA, UAIANA)"
243,"WITOTO (UITOTO, HUITOTO)"
244,XAKRIABA (XACRIABA)
245,"XAVANTE (A'UWE, AKWE, AWEN, AKWEN)"
246,"XERENTE (AKWE, AWEN, AKWEN)"
247,X E TA
248,"XIPAIA (SHIPAYA, XIPAYA)"
249,"XOKLENG (SHOKLENG, XOCLENG)"
250,"XOKO (XOCO, CHOCO)"
251,XUKURU (XUCURU)
252,XUKURU KARIRI (XUCURU-KARIRI)
253,YA I P I YA N A
254,"YAMINAWA (JAMINAWA, IAMINAWA)"
255,"YANOMAMI NINAM (IANOMAMI, IANOAMA, XIRIANA)"
256,"YANOMAMI SANUMA (IANOMAMI, IANOAMA, XIRIANA)"
257,"YANOMAMI YANOMAM (IANOMAMI, IANOAMA, XIRIANA)"
258,YAWALAPITI (IAUALAPITI)
259,YAWANAWA (IAUANAUA)
260,"YEKUANA (MAIONGON, YE'KUANA, YEKWANA, M AY O N G O N G )"
261,"YUDJA (JURUNA, YURUNA)"
262,ZO'E (POTURU)
263,ZORO (PAGEYN)
264,"ZURUAHA (SOROWAHA, SURUWAHA) "
